City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
343,Vanimo,PG,-2.67,141.3,76.46,82,82,5.44,broken clouds
344,Peace River,CA,56.25,-117.29,51.8,66,75,8.05,broken clouds
345,Shitanjing,CN,39.23,106.34,56.32,77,100,12.64,overcast clouds
346,Cravo Norte,CO,6.3,-70.2,90.18,55,27,9.8,scattered clouds
347,Vardo,NO,70.37,31.11,52.5,72,79,13.38,broken clouds
348,Saint-Joseph,RE,-21.37,55.62,71.6,73,20,17.22,few clouds
349,Mount Gambier,AU,-37.83,140.77,60.8,32,74,18.34,broken clouds
350,Teahupoo,PF,-17.83,-149.27,78.8,74,20,2.24,few clouds
351,Codrington,AU,-38.27,141.97,58.8,36,100,22.41,overcast clouds
352,North Platte,US,41.12,-100.77,77.0,47,1,6.93,clear sky
353,Luderitz,NA,-26.65,15.16,55.45,60,13,22.15,few clouds
354,Newton,US,42.34,-71.21,75.0,94,90,8.05,light rain
355,Broome,US,42.25,-75.83,78.01,78,75,10.29,broken clouds
356,Kiama,AU,-34.68,150.87,53.01,62,0,1.99,clear sky
357,Fortuna,US,40.6,-124.16,61.0,93,90,7.0,overcast clouds
358,Igrim,RU,63.19,64.42,55.83,77,100,9.98,overcast clouds
359,Swedru,GH,5.54,-0.7,78.8,78,20,16.11,few clouds
